Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
R348,RES1206-3216,3191.693mil,10972.165mil,3191.693mil,10972.165mil,3124.764mil,10972.165mil,B,360.00,100K
R448,RES1206-3216,7994.843mil,10972.165mil,7994.843mil,10972.165mil,7927.914mil,10972.165mil,B,360.00,100K
Q106,SOT95P240-3RM,2942.520mil,4866.141mil,2942.520mil,4866.141mil,2896.260mil,4866.141mil,B,0.00,2N3906
Q206,SOT95P240-3RM,7745.670mil,4866.141mil,7745.670mil,4866.141mil,7699.410mil,4866.141mil,B,0.00,2N3906
Q306,SOT95P240-3RM,2942.520mil,10692.913mil,2942.520mil,10692.913mil,2896.260mil,10692.913mil,B,0.00,2N3906
Q406,SOT95P240-3RM,7745.670mil,10692.913mil,7745.670mil,10692.913mil,7699.410mil,10692.913mil,B,0.00,2N3906
C136,C0603C104K5RACTU,4202.520mil,4566.141mil,4202.520mil,4566.141mil,4202.520mil,4532.085mil,B,90.00,100nF
C236,C0603C104K5RACTU,9005.670mil,4566.141mil,9005.670mil,4566.141mil,9005.670mil,4532.085mil,B,90.00,100nF
C336,C0603C104K5RACTU,4202.520mil,10392.913mil,4202.520mil,10392.913mil,4202.520mil,10358.857mil,B,90.00,100nF
C436,C0603C104K5RACTU,9005.670mil,10392.913mil,9005.670mil,10392.913mil,9005.670mil,10358.857mil,B,90.00,100nF
C135,C100UF,4252.520mil,4746.141mil,4302.520mil,4746.141mil,4302.520mil,4746.141mil,T,180.00,100uF 25v
C235,C100UF,9055.670mil,4746.141mil,9105.670mil,4746.141mil,9105.670mil,4746.141mil,T,180.00,100uF 25v
C335,C100UF,4252.520mil,10572.913mil,4302.520mil,10572.913mil,4302.520mil,10572.913mil,T,180.00,100uF 25v
C435,C100UF,9055.670mil,10572.913mil,9105.670mil,10572.913mil,9105.670mil,10572.913mil,T,180.00,100uF 25v
C134,C100UF,4072.520mil,1946.141mil,4022.520mil,1946.141mil,4022.520mil,1946.141mil,T,0.00,100uF 25v
C234,C100UF,8875.670mil,1946.141mil,8825.670mil,1946.141mil,8825.670mil,1946.141mil,T,0.00,100uF 25v
C334,C100UF,4072.520mil,7772.913mil,4022.520mil,7772.913mil,4022.520mil,7772.913mil,T,0.00,100uF 25v
C434,C100UF,8875.670mil,7772.913mil,8825.670mil,7772.913mil,8825.670mil,7772.913mil,T,0.00,100uF 25v
